review,clean,sentiment,authentic
5 Very nice product READ MORE,5 nice product,positive,fake
5 Looks amazing👌formal look... READ MORE,5 look amazing formal look,positive,fake
5 So comfortable to wear READ MORE,5 comfortable wear,positive,fake
5 I like the watch the is like  premium and his feel like good and value for money and packing also good.......................😊⌚👀 READ MORE,5 like watch like premium feel like good value money pack also good,positive,genuine
5 This watch is very nice in very low price. I am suggested to those people who want to find a gorgeous watch in low price. READ MORE,5 watch nice low price suggest people want find gorgeous watch low price,positive,genuine
5 Looking very classic READ MORE,5 look classic,neutral,fake
4 Nice product. READ MORE,4 nice product,positive,fake
4 Good looking READ MORE,4 good look,positive,fake
5 Nic product READ MORE,5 nic product,neutral,fake
5 Worth of money 💯💯💯 READ MORE,5 worth money,neutral,fake
"5 Comfortable, looking just waaaaaaoooo. READ MORE",5 comfortable look waaaaaaoooo,positive,fake
5 Useful product Value for money READ MORE,5 useful product value money,positive,fake
5 Cool and stylish READ MORE,5 cool stylish,positive,fake
5 Excellent READ MORE,5 excellent,positive,fake
5 Super quality READ MORE,5 super quality,positive,fake
5 It's looking too good and it's feel like a smart watch... Very beautiful collection with reasonable price .. must buy READ MORE,5 look good feel like smart watch beautiful collection reasonable price must buy,positive,fake
5 It'good product READ MORE,5 good product,positive,fake
5 Awesome product 👌 I like it' READ MORE,5 awesome product like,positive,fake
5 Value for money and design is very good 👍😊 READ MORE,5 value money design good,positive,fake
5 product is very good qualit looking like a costly watch i loved it READ MORE,5 product good qualit look like costly watch love,positive,genuine
3 This product is good READ MORE,3 product good,positive,fake
3 Overall the product is nice but there is a some manufacturing defect the finishing was little bit Error otherwise nice READ MORE,3 overall product nice manufacturing defect finishing little bit error otherwise nice,neutral,genuine
4 Nice and simply superb product READ MORE,4 nice simply superb product,positive,fake
4 It's really good and straps is so smooth READ MORE,4 really good strap smooth,positive,fake
5 Good quality👌 and nice product in this price READ MORE,5 good quality nice product price,positive,fake
"4 Reviewing after 6 months, still works fine but color is little faded in side. Looks classy. READ MORE",4 review 6 month still work fine color little fade side look classy,positive,genuine
5 That is very beautiful and nice look at this most beautiful and very happy READ MORE,5 beautiful nice look beautiful happy,positive,fake
4 Best watch fit price READ MORE,4 good watch fit price,positive,fake
5 Very good nice packaging READ MORE,5 good nice packaging,positive,fake
4 Not a good quality Money point of view is very very good READ MORE,4 good quality money point view good,positive,genuine
5 Everything is good READ MORE,5 everything good,positive,fake
5 Very Good Wat.... Nice... Good Timing.... By.Ravi..... READ MORE,5 good wat nice good timing ravi,positive,genuine
1 Not recommended  this watch READ MORE,1 recommend watch,positive,fake
5 Excellent Watch READ MORE,5 excellent watch,positive,fake
5 So good quality nd appearance I like this product very much😊 READ MORE,5 good quality nd appearance like product much,positive,genuine
5 Very good 😊 dial READ MORE,5 good dial,positive,fake
"5 Watch is good and looking good but it has some dust particles under glass that's why i giving 4 star, otherwise looks good READ MORE",5 watch good look good dust particle glass give 4 star otherwise look good,positive,genuine
2 Bad product READ MORE,2 bad product,negative,fake
4 Worth for money 💵 READ MORE,4 worth money,neutral,fake
4 Beast prod READ MORE,4 beast prod,neutral,fake
2 This product quality is not good but Velu for money READ MORE,2 product quality good velu money,positive,fake
4 Looking dashing... READ MORE,4 look dash,neutral,fake
4 Strap quality is decent READ MORE,4 strap quality decent,neutral,fake
5 Look good value for money READ MORE,5 look good value money,positive,fake
